firstname,lastname,company,phone,email,website,address,city,country,hs_lead_status,rating,review_count,quality_score,extraction_method,extraction_date
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.061995
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062020
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062029
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062037
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062044
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062050
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062057
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062063
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062069
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062076
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062082
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062088
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062094
Land,Settlement Office Jodhpur,Land Settlement Office Jodhpur,,,,"72VM+H5P, Neni bai ka mandir, Udai Mandir, Jodhpur",Udai Mandir,India,NEW,4.6,16,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:53:32.062100
