Name,Phone,Website,BillingStreet,BillingCity,BillingCountry,Industry,Rating__c,ReviewCount__c,QualityScore__c,DataSource__c,ExtractionDate__c
Kd Property And Developers Pvt. Ltd.,085628 81234,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,Business Services,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976896
Kd Property And Developers Pvt. Ltd.,085628 81234,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,Business Services,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976913
Kd Property And Developers Pvt. Ltd.,085628 81234,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,Business Services,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976926
Kd Property And Developers Pvt. Ltd.,085628 81234,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,Business Services,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976938
Kd Property And Developers Pvt. Ltd.,085628 81234,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,Business Services,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976949
Kd Property And Developers Pvt. Ltd.,085628 81234,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,Business Services,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976961
Kd Property And Developers Pvt. Ltd.,085628 81234,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,Business Services,3.9,11,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976973
Kd Property And Developers Pvt. Ltd.,085628 81234,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,Business Services,3.9,11,68,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976984
Kd Property And Developers Pvt. Ltd.,085628 81234,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,Business Services,3.9,11,81,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.976996
Kd Property And Developers Pvt. Ltd.,085628 81234,https://www.google.com/url?q=https://kdpropertypvtltd.com/&opi=79508299&sa=U&ved=0ahUKEwjq3svA2rSQAxVhTGwGHfKtEZcQ61gIFigS&usg=AOvVaw1mXydWHBheeLPeLXxMPPzZ,"Shop No. 9 Sukh Sagar, Maha Mandir Rd, opp. Mutha ji mandir, Jodhpur, Rajasthan 342006",Jodhpur,India,Business Services,3.9,11,73,BOB-Google-Maps-V3.4.1,2025-10-21T12:23:31.977008
